m.03cfqmy	people.ethnicity.languages_spoken	m.02h40lc
m.03l7608	location.mailing_address.citytown	m.04jpl
m.0j3dllt	people.person.nationality	m.07ssc
m.0cbcf9	people.person.profession	m.0np9r
m.0262cyy	common.topic.notable_types	m.01xryvt
m.0ccvx	location.location.people_born_here	m.01p1qh_
m.0114dwx_	people.person.nationality	m.014tss
m.03lv9_	people.person.profession	m.02xhgwq
m.01q0g49	music.artist.genre	m.06by7
m.0566qvr	people.person.nationality	m.09c7w0
m.03gj2	location.location.contains	m.026m28z
m.0rqd58g	base.schemastaging.phone_sandbox.service_location	m.015fr
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0z67f
m.010n306y	music.track_contribution.role	m.0342h
m.0dgrr6d	people.person.ethnicity	m.0x67
m.0y6vh_9	location.mailing_address.country	m.09c7w0
m.01p6fl	people.person.place_of_birth	m.052p7
m.012g2k61	music.track_contribution.role	m.018vs
m.0s8hq	location.location.containedby	m.03v0t
m.0f8l9c	location.location.people_born_here	m.01wjtmd
m.01065t1g	people.person.nationality	m.0345h
m.06zm2kt	people.person.profession	m.02hrh1q
m.0c5x2	music.artist.genre	m.026z9
m.0285kh3	people.person.nationality	m.09c7w0
m.019rg5	location.location.contains	m.0cr57rm
m.0bdlj	music.artist.track_contributions	m.0qfdb56
m.0fsb8	location.location.people_born_here	m.0whqc0r
m.017g21	book.author.works_written	m.0wklvw1
m.0vx_52m	people.person.profession	m.09jwl
m.011q6njj	film.film.country	m.0345h
m.027q2dj	people.person.profession	m.0dz3r
m.047s2jd	people.deceased_person.place_of_burial	m.0156q
m.02xgqb	people.person.education	m.0why7d8
m.0523nlh	people.person.profession	m.01d30f
m.0hnr2yn	people.person.nationality	m.07ssc
m.0qsmtsr	people.person.profession	m.02jknp
m.04ykg	location.location.contains	m.04b0qq6
m.05btdw	people.person.place_of_birth	m.01snm
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.0y629
m.09k02x	people.person.nationality	m.09c7w0
m.0cc7f77	film.film.country	m.02k54
m.0wy_1th	location.mailing_address.country	m.05qhw
m.010x57b4	people.person.profession	m.02jknp
m.03qd1xn	location.location.time_zones	m.02hcv8
m.07r5qg	people.person.place_of_birth	m.02_286
m.01301926	music.track_contribution.role	m.0290ngj
m.07t65	organization.membership_organization.members	m.05kyqd3
g.11b6bsc_1h	film.film.country	m.09c7w0
m.0315y9	people.person.place_of_birth	m.0d9jr
m.01vvy	music.artist.track	m.0fz4wlp
m.011nrpjp	music.group_membership.role	m.0342h
m.0gmf247	people.person.profession	m.09x_r
m.0b7mh1x	film.film.country	m.09c7w0
m.08fz8_	location.location.containedby	m.05b4w
m.09bclb	people.person.nationality	m.09pmkv
m.05p553	media_common.netflix_genre.titles	m.0kvf6s
m.0dhm16d	location.mailing_address.citytown	m.0ftxw
m.0rfdtxw	people.person.profession	m.04gc2
g.125dzwb21	common.notable_for.object	m.02hrh1q
m.0f2v0	location.location.people_born_here	m.0bns0tq
m.015j7	book.book_subject.works	m.04w62wg
m.03g__k7	people.person.nationality	m.09c7w0
m.012562tb	music.track_contribution.role	m.0290ngj
m.05300kk	people.person.profession	m.02h665k
m.046c3xd	people.person.profession	m.0kyk
m.048wzv8	location.location.containedby	m.09c7w0
m.09c7w0	location.location.contains	m.0484x2q
m.0zt19r1	education.education.institution	m.08815
m.0r3w316	people.person.profession	m.01445t
m.0pqls88	location.mailing_address.country	m.09c7w0
m.04fjry7	location.mailing_address.state_province_region	m.01n7q
m.04fj12f	location.mailing_address.citytown	m.0d6lp
m.03v59pk	location.mailing_address.state_province_region	m.02xry
m.0_xtlz_	music.group_membership.role	m.0l14md
m.0clw98v	common.topic.notable_types	m.01y2hnl
m.0d3hrt	people.person.profession	m.09j9h
m.0rt8kpw	music.track_contribution.role	m.0290ngj
m.0134mgjn	music.artist.genre	m.0155w
m.0116d0j7	people.person.profession	m.09l65
m.0zz4v9f	film.film.genre	m.02822
m.07txhx	people.person.profession	m.0mn6
m.03qcfw8	music.artist.genre	m.0gywn
m.0gf51x	people.person.profession	m.0nbcg
m.0hj27z2	people.person.profession	m.0dxtg
m.0wk8kqf	location.mailing_address.country	m.059j2
m.0chghy	location.location.contains	m.0bvly4
m.05zz17q	people.person.place_of_birth	m.0ftlx
m.048vxhr	location.location.containedby	m.09c7w0
m.0dx7z	people.person.profession	m.0cbd2
m.05b4w	location.location.contains	m.0bmh2x
m.03nnll3	people.person.nationality	m.0chghy
m.03v1s	location.location.events	m.048wjs
m.07l512k	people.person.profession	m.05hj__k
m.0228hj	base.culturalevent.event.entity_involved	m.06mkj
m.012y_zn3	music.track_contribution.role	m.0290ngj
m.07tp2	location.location.people_born_here	m.0fqckz3
m.06sb7p0	baseball.batting_statistics.season	m.0285r5d
m.011sc38r	people.person.nationality	m.06qd3
m.0fbpgzr	music.track_contribution.role	m.0l14md
m.0wz_vnr	location.location.containedby	m.05mph
m.01jcgy	people.person.profession	m.02hrh1q
m.0jjtg5w	people.deceased_person.place_of_death	m.04jpl
m.03gxv9y	people.person.nationality	m.09c7w0
m.06qd3	location.location.people_born_here	m.011vqt3d
m.07z1m	location.location.contains	m.04c1h75
m.0z84t95	music.group_membership.role	m.026t6
m.011868	location.location.containedby	m.0824r
m.0djzm6l	common.topic.notable_types	m.01xryvt
m.03c0t7j	people.person.nationality	m.0345h
m.08bbh9	people.person.place_of_birth	m.01_d4
m.03nphp4	people.person.profession	m.02hrh1q
m.0fjgvg	people.person.place_of_birth	m.0f2v0
m.04vxgtb	location.mailing_address.citytown	m.0rh6k
m.02rzct1	fictional_universe.fictional_character.character_created_by	m.079vf
m.01rc6f	organization.organization.headquarters	m.0cnngfj
m.01w63mr	music.artist.genre	m.01243b
m.06mkj	location.location.contains	m.0450xk
m.02qylbn	soccer.football_player.position_s	m.02nzb8
m.0t528c4	people.person.profession	m.05kb8h
m.064098m	film.film.country	m.03_3d
m.0bx7f0y	people.person.place_of_birth	m.030qb3t
m.09sgn72	location.mailing_address.citytown	m.01sn3
m.0q58xmr	people.person.profession	m.09jwl
m.0_yj_67	film.film.country	m.0154j
m.0d9v_k	time.event.locations	m.02zqdb
m.09ghhmv	common.topic.notable_types	m.01xryvt
m.0h7gl41	location.location.containedby	m.05k7sb
m.0gbxz_t	people.deceased_person.cause_of_death	m.0gk4g
m.07_506c	award.award_category.winners	m.0nf3gv1
m.027dr6f	people.person.profession	m.0dxtg
m.0g853p	people.person.profession	m.04gc2
m.051_jxb	location.location.time_zones	m.02k8gd
m.012dvx95	location.mailing_address.state_province_region	m.05fjf
m.04896bs	location.location.containedby	m.01n7q
m.0d8zt_	common.topic.notable_types	m.01xryvt
m.06n3y	location.location.contains	m.0whq3q6
m.0494zfr	location.location.containedby	m.09c7w0
m.0qsng	location.location.containedby	m.09c7w0
m.02j9z	book.book_subject.works	m.04t4ms6
m.0bmh8v1	film.film.genre	m.02822
m.0snrlgj	music.track_contribution.role	m.0342h
m.01rxw	location.location.adjoin_s	m.05g_p3w
m.04c5y2_	location.location.time_zones	m.02fqwt
m.0rhnqy5	music.track_contribution.role	m.0290ngj
m.01144y58	location.mailing_address.state_province_region	m.02xry
m.050ks	location.location.contains	m.0tq54
m.06_y3q7	film.film.country	m.0jgd
m.02qfh9t	people.person.profession	m.0nbcg
m.0c1t1f0	book.written_work.author	m.019fz
m.03rjj	book.book_subject.works	m.04w9wpg
m.0ncx5h_	people.person.profession	m.02hrh1q
m.0g57zrx	common.topic.notable_types	m.01xryvt
m.0cz9m31	people.person.nationality	m.07ssc
m.059g4	location.location.contains	m.0cvz9k
m.011dcdmf	people.deceased_person.place_of_death	m.030qb3t
m.04c75xb	location.location.containedby	m.081mh
g.12qhk8d3p	film.film.country	m.03shp
m.05mcdk	common.topic.notable_types	m.01xryvt
m.06pjh_m	baseball.batting_statistics.season	m.02h7s81
m.03ckp51	location.location.containedby	m.03v1s
m.082db	music.artist.track	m.0t4_8v
m.016rwt	people.person.profession	m.0fj9f
m.03pzjg	location.location.containedby	m.0d05w3
m.0cd8vr	people.person.place_of_birth	m.02dtg
m.05256sh	people.person.nationality	m.05v8c
m.011dfpkx	people.person.profession	m.02hrh1q
m.0gx045x	people.person.profession	m.0cbd2
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.0smpy
m.0ry9sgn	sports.sports_team_roster.team	m.03zbg0
m.01693z	music.artist.label	m.043g7l
m.03ck5cc	people.deceased_person.place_of_burial	m.0dclg
m.027fczn	common.topic.notable_types	m.01xryvt
m.07vbhg	people.deceased_person.place_of_death	m.05qtj
m.09sh09m	location.mailing_address.state_province_region	m.07b_l
m.0qpjt	location.location.people_born_here	m.04f60wg
m.0j1355m	people.person.nationality	m.09c7w0
m.0hzc9m5	location.location.contains	m.01fzm5
g.1q54w2k49	people.person.profession	m.09jwl
m.09c7w0	location.location.contains	m.0105yw
m.02z8q3j	film.film.genre	m.03k9fj
m.0zhhjfr	common.topic.notable_types	m.02nmm_l
m.038ncl	government.politician.party	m.03ltpyt
m.09c7w0	location.location.contains	m.04c4drf
m.0w58g	location.location.containedby	m.04ykg
m.03ydh8_	people.deceased_person.cause_of_death	m.0g02vk
m.05_kbg	people.person.nationality	m.09c7w0
m.030qb3t	location.location.people_born_here	m.0fhbwy
m.09qf01	base.culturalevent.event.entity_involved	m.024pcx
m.0gc1cm6	people.person.nationality	m.06c1y
m.0484hmr	location.location.containedby	m.09c7w0
m.011b_1fh	people.person.place_of_birth	m.01x73
m.0tqg8	location.location.containedby	m.09c7w0
m.09s4yzh	location.mailing_address.citytown	m.01_d4
m.010fjj22	film.film.genre	m.02822
m.0crxmd7	film.film.country	m.09c7w0
m.04j2ghz	film.film.country	m.0d0vqn
m.0gj8x0z	film.film.country	m.07ssc
m.0ckgm6	people.person.nationality	m.0345h
m.0r6db	location.location.containedby	m.0l2xl
m.0tr3b	location.location.containedby	m.09c7w0
m.0hr7zy5	people.person.nationality	m.03rt9
m.0qb89m9	music.track_contribution.role	m.0342h
m.08031	music.composer.compositions	m.0h42bj
m.04jpl	location.location.people_born_here	m.09gwnm
m.010k_vq_	music.group_member.instruments_played	m.0342h
m.09c7w0	location.location.contains	m.0wfcdbl
m.0glrz_1	people.person.nationality	m.09pmkv
m.0rf9vbn	people.person.nationality	m.0b90_r
m.0jt92d	people.person.place_of_birth	m.02xry
m.09gpb1b	people.person.profession	m.01pxg
m.026dg5d	people.person.profession	m.039v1
m.04j2js5	film.film.country	m.0d0vqn
m.0h_634c	people.person.nationality	m.0d060g
m.0f9wd	influence.influence_node.influenced	m.09j84
m.026fg9z	people.person.nationality	m.0d060g
m.047ss_x	people.deceased_person.place_of_death	m.0chgzm
m.011rmq_d	people.person.profession	m.02hrh1q
m.030yd6	base.aareas.schema.administrative_area.administrative_parent	m.07cfx
m.01s2n4l	people.person.place_of_birth	m.05sb1
m.0j7n2ky	people.person.profession	m.0fj9f
m.06c62	location.location.people_born_here	m.010vm71d
m.03bxtkz	transportation.bridge.locale	m.05l5n
m.09c7w0	location.location.contains	m.04955qz
m.03qhjj9	sports.sports_team.location	m.0d05w3
m.0h3prld	common.topic.notable_types	m.02_77lg
m.0bmxm1z	people.person.nationality	m.035qy
m.0brz132	people.person.profession	m.080ntlp
m.010p8b4t	people.person.profession	m.01d_h8
m.09rzbrm	location.mailing_address.country	m.09c7w0
m.01sjq95	music.artist.origin	m.04jpl
m.02qtv3b	location.location.containedby	m.03v1s
m.01136dm6	sports.sports_team_roster.position	m.02nzb8
g.1227csky	film.film.country	m.0f8l9c
m.09j_cy6	olympics.olympic_medal_honor.olympics	m.0jhn7
m.026tvv4	people.person.nationality	m.05b4w
m.06p_8f_	baseball.batting_statistics.season	m.02h7rz_
m.0bvxhh	film.film.genre	m.02822
m.0ndq0jy	people.person.profession	m.0dxtg
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0gm3gc
m.03xnz_t	people.person.profession	m.02hrh1q
m.03_f0	music.composer.compositions	m.0_68kj_
m.0nh404f	film.film.genre	m.03k9fj
m.0cr3d	location.location.people_born_here	m.0gg9c63
m.0qs3wr5	base.schemastaging.phone_sandbox.service_location	m.0d060g
m.02q82py	people.person.nationality	m.09c7w0
m.06rgrqj	baseball.batting_statistics.team	m.01d5z
m.0284jm7	film.film.country	m.09c7w0
m.02hmw9	common.topic.notable_for	g.1254zbjds
m.0t_7hkh	people.person.place_of_birth	m.05jbn
m.03_3d	location.location.contains	m.04g0j83
m.0f3q6m	people.person.nationality	m.02jx1
m.03v1s	location.location.contains	m.04925cd
m.09c7w0	location.location.contains	m.0wf5k
m.0b3wl93	olympics.olympic_athlete_affiliation.sport	m.03tmr
m.0hhqs3_	people.person.profession	m.02hrh1q
m.010v_t3q	people.person.profession	m.02hrh1q
m.0gby658	people.person.profession	m.02hrh1q
m.02xry	location.location.contains	m.0rryl
m.01_yrfl	location.location.containedby	m.0nhmw
m.09c7w0	location.location.contains	m.0485_0l
m.05fmhb	people.person.place_of_birth	m.02_286
m.05c1_1b	people.person.place_of_birth	m.04ykg
m.0b663x6	film.film.genre	m.02822
m.0c2_ph	people.person.nationality	m.09c7w0
m.0rwyk	location.location.time_zones	m.02hcv8
m.0dmk0t	soccer.football_player.position_s	m.02nzb8
m.0cbj6h	people.person.profession	m.09l65
m.02vltzp	people.person.nationality	m.09c7w0
m.0fvzg	location.location.people_born_here	m.04f5_m
m.0fwzjs	film.film.country	m.0f8l9c
m.07dfk	location.location.people_born_here	m.011c0qnn
m.03_3d	location.location.contains	m.04cr6zr
m.02x4_m	people.person.nationality	m.0d060g
m.09shg_1	location.mailing_address.state_province_region	m.04rrx
g.12590c112	common.notable_for.notable_object	m.080ntlp
m.03m89tn	people.person.profession	m.0dxtg
m.069sp1	people.person.nationality	m.09c7w0
m.06n8j	location.location.people_born_here	m.02x2q3q
m.010zdtxp	people.person.profession	m.02jknp
m.0gy19s2	people.person.profession	m.02h664g
m.02q_7cv	people.person.place_of_birth	m.05qtj
m.035hqh	people.person.profession	m.0d8qb
m.05mwmc3	people.person.nationality	m.07ssc
m.03l2n	location.location.people_born_here	m.0gx07r
m.0crv1k5	film.film.country	m.07ylj
m.02lcqs	time.time_zone.locations_in_this_time_zone	m.02yx4br
m.0c0l30s	film.film.country	m.09c7w0
g.121b1_3v	people.person.nationality	m.0f8l9c
m.0crykf	people.person.profession	m.0dxtg
m.0cr3d	location.location.people_born_here	m.0gyx7r
m.0jgd	location.location.people_born_here	m.0287d1_
m.04qr222	basketball.basketball_player_stats.team	m.0jm2v
m.0y8wp	location.location.containedby	m.059rby
m.02t0f5s	location.mailing_address.state_province_region	m.05kkh
m.06qxrvj	baseball.batting_statistics.team	m.0cqt41
m.06r3c2y	baseball.batting_statistics.team	m.01yjl
m.0f2kdml	music.track_contribution.role	m.0342h
m.02qv9_h	language.human_language.main_country	m.05c17
m.0hhr6l2	music.artist.genre	m.05w3f
m.0gj3021	people.person.profession	m.02jknp
m.0g7xb3k	people.person.profession	m.01d_h8
m.01301t9w	people.person.place_of_birth	m.0177z
m.03wh387	people.person.place_of_birth	m.094jv
m.0p2n	location.location.contains	m.06t76q
m.09c7w0	location.location.contains	m.06ndbw
m.0j53sl5	soccer.football_player.position_s	m.02nzb8
m.05bnp80	people.person.nationality	m.09c7w0
m.012stcd2	people.person.ethnicity	m.0222qb
m.0f44h6	film.music_contributor.film	m.0prrm
m.011fpvjr	location.mailing_address.country	m.09c7w0
m.01m0zy	location.location.containedby	m.02j9z
m.09c7w0	location.location.contains	m.0493833
m.09gp80v	music.artist.genre	m.064t9
m.0qzs4	location.location.time_zones	m.02lcqs
m.011t359n	people.person.profession	m.0kyk
m.02wxrc4	people.person.nationality	m.0d0vqn
m.01vrncs	music.artist.album	m.0cmck8z
m.0h_629t	people.person.nationality	m.0d060g
m.02lvtb	music.artist.album	m.0gfd61_
m.05qtj	location.location.people_born_here	m.04gnbd_
m.0464w0n	common.topic.notable_types	m.01xryvt
m.02_286	location.location.contains	m.0wfg9_p
m.027ldf3	people.ethnicity.languages_spoken	m.05qqm
m.09v641c	people.person.profession	m.04s2z
m.03cp1nd	location.location.containedby	m.04jpl
m.0d9xq	music.composer.compositions	m.01082g_w
m.06gysr	people.person.profession	m.09jwl
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.065zlhk
m.0k_fyw	people.person.nationality	m.09c7w0
m.0l30v	location.location.contains	m.048b488
m.0k5p1	location.location.people_born_here	m.0gx227m
m.03ck042	film.film.other_crew	m.0hgbpwj
m.0clvmj2	location.location.containedby	m.0d0x8
g.121yb5nr	people.person.profession	m.02hrh1q
m.05m6fn	people.person.profession	m.02h6nn_
m.0g51jt3	film.film.country	m.0345h
m.05qtj	location.location.people_born_here	m.0gbwwwf
m.0nfq0wv	people.person.profession	m.02hrh1q
m.0j7flkz	people.person.place_of_birth	m.03rk0
m.06p40jw	baseball.batting_statistics.season	m.02h7s4s
m.025t5px	meteorology.tropical_cyclone.affected_areas	m.07h34
m.05xw2cb	common.topic.notable_types	m.01xryvt
m.04nb6vs	people.person.religion	m.01lp8
m.0qm5vm0	people.person.profession	m.02jknp
m.03gr362	location.location.containedby	m.0j1z8
m.0h8b3ll	people.person.profession	m.0dxtg
m.01vyh53	people.person.profession	m.04l1gwb
m.0d401	base.activism.activist.area_of_activism	m.0148d
m.0662fr	people.deceased_person.cause_of_death	m.0gk4g
m.0c1t2t_	book.literary_series.works_in_this_series	m.0y50n7t
m.09c7w0	location.location.contains	m.0491xng
m.047pc4j	people.deceased_person.place_of_burial	m.0dclg
m.06q0874	baseball.batting_statistics.season	m.02h7s52
m.09c7w0	government.governmental_jurisdiction.governing_officials	m.030qq3n
m.0gsy78h	people.person.profession	m.02hrh1q
m.0jsrml9	people.person.profession	m.02hrh1q
m.0364z4	symbols.name_source.namesakes	m.01r_6p
m.0kk68rr	olympics.olympic_athlete_affiliation.country	m.06v36
m.082db	music.artist.track	m.0yb1l2b
m.0v0b_zh	people.person.nationality	m.09c7w0
m.0jjh1bl	film.film.genre	m.01hmnh
m.0490l5p	location.location.containedby	m.03v0t
m.011n_pkj	people.person.profession	m.04l1gwb
m.06ppsyr	baseball.batting_statistics.team	m.0512p
m.03g3w	book.book_subject.works	m.04w5v2c
m.0950_0	people.person.nationality	m.03rt9
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.04c0p3m
m.0gfhy81	people.person.place_of_birth	m.0vmt
m.034v3c	government.politician.government_positions_held	m.0mywt89
m.0hchdlf	people.person.nationality	m.09c7w0
m.0sgqnbp	people.deceased_person.cause_of_death	m.08q1tg
m.04b3v56	location.location.containedby	m.04tgp
m.08sftr	common.topic.notable_types	m.01xryvt
m.01znc_	location.location.adjoin_s	m.02wj9hk
m.0d0vqn	location.location.contains	m.0yqy9
m.05zhlkc	people.person.nationality	m.09c7w0
m.0cts7b	film.film.country	m.03_3d
m.0gj95vp	music.artist.genre	m.01243b
m.0gczpbm	people.person.place_of_birth	m.0fpzwf
m.0b75q4r	music.artist.genre	m.02lkt
m.05yhh5d	people.person.profession	m.01d_h8
m.03wcdb	business.business_operation.industry	m.0191_7
m.02822	media_common.netflix_genre.titles	m.02810l5
m.01wplyh	music.group_membership.role	m.0342h
m.0bt_d93	people.person.profession	m.02hrh1q
m.0gxs1_z	film.film.country	m.04xn_
m.04bc0tk	location.location.containedby	m.059rby
m.0gjgy59	people.person.profession	m.0dxtg
m.0h52qqv	people.person.nationality	m.027rn
m.0464kg9	people.person.profession	m.02hrh1q
g.113qbk2pp	people.person.nationality	m.02k54
m.0113670l	people.person.profession	m.02jknp
m.011nr7ym	music.group_membership.role	m.0342h
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.02q71qk
m.0vh0n	location.location.containedby	m.049nq
m.02q5zk9	people.person.profession	m.02h664g
m.02dtg	location.location.people_born_here	m.010fp121
m.02_286	location.location.people_born_here	m.0gcxq2z
m.0dhfl9w	location.mailing_address.country	m.09c7w0
m.04vww3l	sports.sports_league_draft_pick.team	m.01yhm
m.02vrwv4	people.person.profession	m.04s2z
m.0dbc34	people.deceased_person.place_of_burial	m.0lbp_
m.09fvsd	people.person.place_of_birth	m.02_286
m.0gw5nmz	media_common.netflix_genre.titles	m.027sfwn
m.0r4sdlh	people.person.place_of_birth	m.0h7h6
m.0895q1	people.person.profession	m.0dxtg
m.04wv_6	people.person.nationality	m.09c7w0
m.0dht4kx	location.mailing_address.state_province_region	m.059rby
m.0wk9rdn	location.mailing_address.state_province_region	m.02ly_
m.048x4yk	location.location.containedby	m.09c7w0
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.04b3x0r
m.03gykp_	people.person.profession	m.047vnfs
m.097d4t	location.location.containedby	m.081mh
m.0ddgqf6	film.film.country	m.05qhw
m.0687dz	people.person.nationality	m.09c7w0
m.0h3mgj_	common.topic.notable_types	m.01xryvt
m.09sl5yg	location.mailing_address.state_province_region	m.07h34
m.0jzrlnw	education.education.institution	m.06pwq
m.0z7_q59	award.award_nomination.award_nominee	m.04sv4
m.03d6cwx	people.person.place_of_birth	m.0rh6k
m.082db	music.artist.track	m.0f63qv8
m.0139r162	music.track_contribution.role	m.026t6
m.011sql86	visual_art.visual_artist.art_forms	m.05wkw
m.0h6dt1b	people.person.profession	m.02hrh1q
g.122jq9vy	people.person.nationality	m.0345h
m.02lt8	book.author.works_written	m.043m8j5
m.0d9jr	location.location.people_born_here	m.01wb33q
m.01w5mx	people.person.place_of_birth	m.02m__
m.04n49vv	location.location.containedby	m.02j9z
m.04lh6	location.location.people_born_here	m.0g4dfm
m.0brzbqs	people.person.place_of_birth	m.0f2rq
m.0bhj20y	people.person.nationality	m.03l5m1
m.0gxbpk5	film.film.country	m.09c7w0
m.0gy9c1x	location.mailing_address.state_province_region	m.059rby
m.09sm_yg	location.mailing_address.citytown	m.02_286
m.0dbcbz	people.person.nationality	m.09c7w0
m.04jbkzr	people.person.nationality	m.015fr
m.04f2y14	people.person.place_of_birth	m.02k54
m.0492c01	location.location.containedby	m.0488g
m.09c7w0	location.location.contains	m.05t0yq6
m.0rr7_84	music.track_contribution.role	m.07gql
m.0491y_v	location.location.containedby	m.03v1s
m.039cgy	location.location.containedby	m.03_3d
m.091c35	people.person.nationality	m.09c7w0
m.0806lm2	people.person.religion	m.03_gx
m.0qfg465	music.track_contribution.role	m.0290ngj
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0493ys6
m.0dj9wj5	film.film.genre	m.082gq
m.0gqshm	people.person.profession	m.02hrh1q
m.09rsjdd	people.person.profession	m.0cbd2
m.0cpbnj_	common.topic.notable_types	m.01y2hnl
m.05kr_	location.location.contains	m.06zl77k
m.05qtj	location.location.people_born_here	m.02z11hh
m.04066xj	film.actor.film	m.0h16nx2
m.0c1lr0y	common.topic.notable_types	m.02nmm_l
m.0gcbw9t	common.topic.notable_types	m.0jsg4j
m.0d0x8	location.location.contains	m.04_mbv
m.09ygyn6	people.person.place_of_birth	m.031y2
m.04lfftg	film.film.country	m.0jgd
m.0l_n1	location.location.containedby	m.09c7w0
m.0kn5t3n	people.person.profession	m.01d_h8
m.03m46rg	music.artist.genre	m.05bt6j
m.0dd0xh	people.person.nationality	m.09c7w0
m.09ggdhf	people.person.profession	m.09l65
m.0ghtdgf	film.film.genre	m.02kdv5l
m.02px5p1	people.person.profession	m.09x_r
m.0cq23c5	media_common.netflix_genre.titles	m.02w7c9c
m.026fnrn	people.deceased_person.place_of_death	m.0cr3d
m.02w9sg_	people.person.nationality	m.02jx1
m.06b_j	media_common.netflix_genre.titles	m.0dgfzpp
m.04b1c3l	location.location.containedby	m.04ych
m.0bwvwzl	film.film.genre	m.02kdv5l
m.09ry12j	film.film.genre	m.02kdv5l
m.0j9lqz4	people.person.place_of_birth	m.04xn_
m.04b2j9q	location.location.containedby	m.04ych
m.01vsl3_	music.artist.track_contributions	m.011dt7x9
m.06s84qv	baseball.batting_statistics.season	m.02h7s6b
m.0122xs9z	music.track_contribution.role	m.026t6
m.044dc0	people.person.profession	m.09l65
m.04b1_hy	location.location.containedby	m.09c7w0
m.0c21708	film.film.genre	m.02822
m.0wyq4tk	location.location.containedby	m.07ssc
m.0524l8z	common.topic.notable_types	m.01xryvt
m.0bxzs5s	people.person.nationality	m.03rk0
m.03gyl	book.book_subject.works	m.04w4d7g
m.0ngk9w5	sports.sports_team_roster.position	m.02nzb8
m.011kr3ng	music.track_contribution.role	m.07gql
m.0q56pn9	people.person.nationality	m.0345h
m.0yq9m8g	people.person.profession	m.0fq0t_c
m.05p0j34	people.person.nationality	m.01ls2
m.050ks	location.location.contains	m.01m6q8
m.0d0x8	location.location.contains	m.048x73h
m.01ws8vd	people.person.nationality	m.09c7w0
m.0kv3vyd	music.group_membership.group	m.06hgr5
m.0117lj71	music.track_contribution.role	m.0342h
m.01f62	location.location.people_born_here	m.07kdjcf
m.0432_5	film.film.country	m.06t2t
m.027lqgk	common.topic.notable_types	m.01xljvt
m.051wm0	people.person.nationality	m.03rjj
m.0520gf	people.person.nationality	m.09c7w0
m.0h7q9g0	people.person.nationality	m.05kyr
m.09c7w0	location.location.contains	m.0clvv6v
m.011n8p08	music.group_membership.role	m.0l14j_
m.02w7pn7	people.person.religion	m.04pk9
m.082db	music.composer.compositions	m.0zxw7py
m.026jh3_	film.film.country	m.09c7w0
m.0f_6y20	music.artist.origin	m.03_xj
m.0zcscgv	location.mailing_address.state_province_region	m.0498y
m.0hmx4	visual_art.visual_artist.art_forms	m.06msq
m.052561_	common.topic.notable_types	m.01xryvt
m.05_d_5	people.person.religion	m.03_gx
m.0b8sqv	people.person.nationality	m.0chghy
m.012vfz10	music.track_contribution.role	m.026t6
m.0jvx5xj	people.person.profession	m.04l1gwb
m.0_lqy_v	people.person.profession	m.02jknp
m.0c2d2	location.location.time_zones	m.02llzg
m.073w5q	people.person.profession	m.02hrh1q
m.05mvdxs	people.person.profession	m.01445t
m.0_szv14	people.person.profession	m.02hrh1q
m.015f7	people.person.profession	m.064xm0
m.0c4xrw6	people.person.profession	m.0dxtg
m.0d05w3	location.statistical_region.places_imported_from	m.04c__kz
m.079vf	fictional_universe.fictional_character_creator.fictional_characters_created	m.0bgd80
m.06hvmy	location.location.containedby	m.02j9z
m.0jwml6k	film.film.country	m.09c7w0
m.05h4f9p	people.person.nationality	m.0162b
m.012hbk4m	film.film.country	m.06mzp
m.0238mf	people.person.profession	m.09jwl
m.06q8ht	people.person.profession	m.0frz0
m.06z76t	people.person.profession	m.0fj9f
m.0h7h6	location.location.people_born_here	m.0h53p1
g.11r7plr0p	film.film.country	m.01znc_
m.011s94cq	people.person.profession	m.01c72t
m.02_bcst	government.government_office_or_title.office_holders	m.05khv3t
m.06w1fpy	people.person.profession	m.02xhr73
m.01n7q	book.book_subject.works	m.04w96zv
m.094jv	location.location.people_born_here	m.04cwwbt
m.0l7htmz	people.person.profession	m.02hrh1q
m.02l840	broadcast.artist.content	m.03gdn4d
m.0ks73g	people.person.nationality	m.03shp
m.0qfdy33	music.track_contribution.role	m.0290ngj
m.040lj2l	location.mailing_address.country	m.09c7w0
m.06gyxs	film.film.genre	m.02kdv5l
m.05h148q	location.mailing_address.state_province_region	m.05fjf
m.02822	media_common.netflix_genre.titles	m.0kb93
m.02hr8n3	education.education.institution	m.04hgpt
m.0zwrdkz	people.person.profession	m.02hrh1q
m.0njq8c1	music.track_contribution.role	m.05148p4
m.02q2yqj	people.person.nationality	m.03rjj
m.0gc1bt0	people.person.profession	m.0dxtg
m.05b3jq3	film.film.country	m.07ssc
m.0zgkxrx	location.mailing_address.country	m.09c7w0
m.02x4nq	people.person.nationality	m.077qn
m.01lm65	people.person.religion	m.0blk0
m.0d9jr	location.location.contains	m.06_hm_d
m.02q5zq3	location.location.containedby	m.03rk0
